City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
121,Chokurdakh,RU,2020-05-08 01:34:50,70.63,147.92,28.15,96,1,7.4
122,Avera,US,2020-05-08 01:34:51,33.19,-82.53,59.0,54,1,3.62
123,Marrakesh,MA,2020-05-08 01:34:51,31.63,-8.01,62.6,77,0,8.05
124,Barra Patuca,HN,2020-05-08 01:34:51,15.8,-84.28,81.82,79,52,10.45
125,Chalon-Sur-Saone,FR,2020-05-08 01:34:51,46.78,4.85,55.99,88,95,1.28
126,Mehamn,NO,2020-05-08 01:34:52,71.04,27.85,35.78,88,91,25.43
127,Puerto Ayora,EC,2020-05-08 01:34:52,-0.74,-90.35,78.01,93,26,1.01
128,Sitka,US,2020-05-08 01:34:52,57.05,-135.33,57.2,48,40,12.75
129,Mahebourg,MU,2020-05-08 01:34:53,-20.41,57.7,73.4,94,40,1.12
130,Tyazhinskiy,RU,2020-05-08 01:34:53,56.12,88.52,45.64,66,93,1.45
131,Havre-Saint-Pierre,CA,2020-05-08 01:34:53,50.23,-63.6,37.4,87,90,5.82
132,Ilulissat,GL,2020-05-08 01:34:02,69.22,-51.1,28.4,68,0,10.29
133,Bluff,NZ,2020-05-08 01:34:54,-46.6,168.33,51.66,71,96,5.06
134,Calvinia,ZA,2020-05-08 01:34:54,-31.47,19.78,61.83,29,100,4.81
135,Kampong Thum,KH,2020-05-08 01:33:49,12.71,104.89,90.81,57,97,7.45
136,Sinnamary,GF,2020-05-08 01:34:55,5.38,-52.95,78.57,83,99,11.05
137,Arman,RU,2020-05-08 01:34:55,59.7,150.17,39.96,68,0,3.18
138,Port Blair,IN,2020-05-08 01:34:55,11.67,92.75,85.95,74,100,9.48
139,Tommot,RU,2020-05-08 01:34:55,58.96,126.29,38.05,77,100,13.89
140,Pombas,CV,2020-05-08 01:34:56,17.15,-25.02,73.4,73,40,25.28
141,Ayame,CI,2020-05-08 01:34:56,5.61,-3.16,76.06,97,72,2.26
142,Islamabad,PK,2020-05-08 01:32:30,33.71,73.13,73.99,77,88,8.05
143,Manggar,ID,2020-05-08 01:34:56,-2.88,108.27,84.47,76,99,11.63
144,Hay River,CA,2020-05-08 01:34:57,60.82,-115.8,53.6,50,40,6.93
145,Barranca,PE,2020-05-08 01:34:57,-10.75,-77.77,67.05,84,97,5.21
146,Bataipora,BR,2020-05-08 01:34:57,-22.3,-53.27,49.8,64,0,4.25
147,Alamosa,US,2020-05-08 01:34:57,37.47,-105.87,73.4,3,1,28.86
148,Airai,TL,2020-05-08 01:34:58,-8.93,125.41,70.47,65,0,4.5
149,Victoria,HK,2020-05-08 01:34:58,22.29,114.16,86.0,74,95,11.99
150,Terracina,IT,2020-05-08 01:34:58,41.29,13.22,55.99,91,0,4.7
151,Kalabo,ZM,2020-05-08 01:34:58,-14.97,22.68,58.86,65,0,5.88
152,Altoona,US,2020-05-08 01:34:58,40.52,-78.39,53.6,50,75,6.93
153,Poum,NC,2020-05-08 01:34:58,-20.23,164.02,76.82,70,4,20.4
154,Kavieng,PG,2020-05-08 01:34:59,-2.57,150.8,85.62,68,0,8.7
155,Bereda,ES,2020-05-08 01:34:59,43.27,-7.54,55.99,100,18,3.0
156,Taunggyi,MM,2020-05-08 01:34:59,20.78,97.03,78.82,49,0,4.99
157,Quatre Cocos,MU,2020-05-08 01:34:59,-20.21,57.76,73.99,94,40,1.12
158,Darhan,MN,2020-05-08 01:35:00,49.49,105.92,53.2,41,100,5.88
159,Rio Claro,BR,2020-05-08 01:35:00,-22.41,-47.56,57.2,82,4,11.41
160,Quelimane,MZ,2020-05-08 01:35:00,-17.88,36.89,69.37,92,63,5.97
161,Mar Del Plata,AR,2020-05-08 01:30:50,-38.0,-57.56,54.0,87,0,9.17
162,Tomatlan,MX,2020-05-08 01:35:01,19.93,-105.25,76.26,74,0,1.74
163,San Vicente,AR,2020-05-08 01:35:01,-26.62,-54.13,42.28,90,0,2.33
164,Matagami,CA,2020-05-08 01:35:01,49.75,-77.63,24.8,53,1,9.17
165,Kysyl-Syr,RU,2020-05-08 01:35:01,63.9,122.76,23.86,96,100,15.59
166,Skovorodino,RU,2020-05-08 01:35:02,53.98,123.92,54.01,36,0,11.32
167,Santa Maria,BR,2020-05-08 01:35:02,-29.68,-53.81,48.2,100,0,1.12
168,Touho,NC,2020-05-08 01:35:02,-20.78,165.23,77.49,60,27,8.14
169,Huambo,AO,2020-05-08 01:35:02,-12.78,15.74,52.63,72,0,2.75
170,Dubrovka,RU,2020-05-08 01:35:03,53.69,33.51,43.5,91,100,10.8
171,Pevek,RU,2020-05-08 01:35:03,69.7,170.31,32.9,91,49,3.0
172,Bairiki,KI,2020-05-08 01:33:47,1.33,172.98,87.8,74,40,5.82
173,Huancavelica,PE,2020-05-08 01:35:03,-12.77,-74.98,38.32,91,100,3.67
174,Emba,KZ,2020-05-08 01:35:03,48.83,58.14,56.48,47,0,15.14
175,Souillac,MU,2020-05-08 01:35:04,-20.52,57.52,73.4,94,40,1.12
176,Vanimo,PG,2020-05-08 01:35:04,-2.67,141.3,84.33,76,38,2.17
177,Owando,CG,2020-05-08 01:35:04,-0.48,15.9,73.78,91,40,1.01
178,Nanortalik,GL,2020-05-08 01:35:04,60.14,-45.24,38.86,83,74,3.29
179,Mastic Beach,US,2020-05-08 01:35:05,40.77,-72.85,53.6,58,1,8.05
180,San Juan Bautista,PE,2020-05-08 01:35:05,-14.01,-75.74,68.0,77,100,6.93
181,Luzhou,CN,2020-05-08 01:35:05,28.87,105.44,68.65,74,100,8.16
182,Ntcheu,MW,2020-05-08 01:35:06,-14.82,34.64,55.54,82,82,6.17
183,Karratha,AU,2020-05-08 01:35:06,-20.74,116.85,85.98,41,75,1.48
184,La Asuncion,VE,2020-05-08 01:35:06,11.03,-63.86,80.6,88,94,23.04
185,Ulladulla,AU,2020-05-08 01:35:06,-35.35,150.47,77.0,31,0,17.22
186,Luderitz,NA,2020-05-08 01:35:07,-26.65,15.16,64.4,59,99,8.05
187,Sechura,PE,2020-05-08 01:35:07,-5.56,-80.82,74.95,69,13,14.63
188,Eirunepe,BR,2020-05-08 01:35:07,-6.66,-69.87,72.21,92,96,2.04
189,Wana,PK,2020-05-08 01:35:08,32.3,69.57,72.27,37,0,1.74
190,Estelle,US,2020-05-08 01:32:09,29.85,-90.11,71.6,53,1,11.41
191,Bambous Virieux,MU,2020-05-08 01:35:08,-20.34,57.76,73.99,94,40,1.12
192,Rock Sound,BS,2020-05-08 01:35:08,24.9,-76.2,76.3,79,100,21.09
193,Chumikan,RU,2020-05-08 01:35:09,54.72,135.31,32.38,97,100,15.3
194,Forth,GB,2020-05-08 01:35:09,55.77,-3.69,53.01,76,40,4.7
195,Antofagasta,CL,2020-05-08 01:35:10,-23.65,-70.4,60.8,82,90,6.93
196,Show Low,US,2020-05-08 01:35:10,34.25,-110.03,77.0,8,1,11.41
197,Dunedin,NZ,2020-05-08 01:30:28,-45.87,170.5,55.0,84,93,1.01
198,Roma,US,2020-05-08 01:35:10,43.21,-75.46,42.8,81,75,4.7
199,Goderich,CA,2020-05-08 01:35:11,43.75,-81.72,43.0,76,0,11.97
200,Villa Rica,US,2020-05-08 01:35:11,33.73,-84.92,59.0,57,1,3.36
201,Mizdah,LY,2020-05-08 01:35:12,31.45,12.98,61.29,78,0,16.46
202,Qaanaaq,GL,2020-05-08 01:35:12,77.48,-69.36,12.97,92,100,1.72
203,Nantucket,US,2020-05-08 01:30:34,41.28,-70.1,50.0,66,1,16.11
204,San Quintin,MX,2020-05-08 01:35:13,30.48,-115.95,70.57,57,1,7.16
205,Kuri,KR,2020-05-08 01:35:13,37.6,127.14,71.6,13,20,4.7
206,Pangnirtung,CA,2020-05-08 01:35:13,66.15,-65.71,21.43,86,63,2.82
207,Talaya,RU,2020-05-08 01:35:13,61.38,152.75,29.25,94,92,1.03
208,Aklavik,CA,2020-05-08 01:35:14,68.22,-135.01,35.6,64,5,10.29
209,Gohpur,IN,2020-05-08 01:35:14,26.88,93.63,82.38,54,0,6.51
210,Nhulunbuy,AU,2020-05-08 01:35:14,-12.23,136.77,84.2,58,40,12.75
211,Bandundu,CD,2020-05-08 01:35:14,-3.32,17.37,73.02,94,51,1.7
212,Bandar-E Lengeh,IR,2020-05-08 01:35:15,26.56,54.88,77.0,57,19,12.5
213,Constitucion,CL,2020-05-08 01:35:15,-35.33,-72.42,61.18,47,100,1.45
214,Qaqortoq,GL,2020-05-08 01:35:15,60.72,-46.03,46.4,65,61,3.36
215,Hualmay,PE,2020-05-08 01:35:15,-11.1,-77.61,68.88,78,89,6.76
216,Najran,SA,2020-05-08 01:35:15,17.49,44.13,75.2,50,0,2.68
217,Madang,PG,2020-05-08 01:35:16,-5.22,145.8,83.03,81,100,2.91
218,Nshamba,TZ,2020-05-08 01:35:16,-1.8,31.55,77.0,69,75,17.22
219,Pisco,PE,2020-05-08 01:35:16,-13.7,-76.22,68.0,77,100,6.93
220,Atar,MR,2020-05-08 01:35:16,20.52,-13.05,82.83,17,0,9.42
221,Maltahohe,NA,2020-05-08 01:35:17,-24.83,16.98,61.45,30,0,9.19
222,Abu Dhabi,AE,2020-05-08 01:33:03,24.47,54.37,82.4,69,74,5.82
223,Bubaque,GW,2020-05-08 01:35:17,11.28,-15.83,78.98,66,0,7.27
224,Hasaki,JP,2020-05-08 01:35:17,35.73,140.83,73.0,39,20,4.7
225,Pitimbu,BR,2020-05-08 01:35:17,-7.47,-34.81,75.2,94,97,8.75
226,Georgetown,MY,2020-05-08 01:35:18,5.41,100.34,86.0,88,20,3.36
227,Esperance,AU,2020-05-08 01:35:18,-33.87,121.9,55.4,87,75,17.22
228,Lazaro Cardenas,MX,2020-05-08 01:34:59,17.96,-102.2,77.38,77,0,4.18
229,Hambantota,LK,2020-05-08 01:35:19,6.12,81.12,75.2,100,100,7.05
230,Half Moon Bay,US,2020-05-08 01:35:19,37.46,-122.43,84.99,25,5,8.05
231,Chuy,UY,2020-05-08 01:35:19,-33.7,-53.46,50.95,78,41,5.61
232,Asau,RO,2020-05-08 01:35:19,46.43,26.4,42.01,75,24,5.46
233,Suntar,RU,2020-05-08 01:35:20,62.14,117.63,33.13,79,100,11.59
234,Indramayu,ID,2020-05-08 01:35:20,-6.33,108.32,84.92,70,82,6.87
235,Vanavara,RU,2020-05-08 01:35:20,60.34,102.28,42.19,64,1,7.2
236,San Isidro,PE,2020-05-08 01:35:20,-12.12,-77.05,68.0,82,100,8.05
237,Collie,AU,2020-05-08 01:35:20,-33.37,116.15,59.0,78,81,7.09
238,Mildura,AU,2020-05-08 01:35:21,-34.2,142.15,64.4,59,0,8.05
239,Antequera,ES,2020-05-08 01:34:25,37.02,-4.56,64.99,82,0,4.7
240,San Patricio,MX,2020-05-08 01:35:21,19.22,-104.7,80.6,83,5,5.82
241,Korem,ET,2020-05-08 01:35:21,12.51,39.52,56.59,94,86,1.3
242,Saskylakh,RU,2020-05-08 01:35:22,71.92,114.08,6.67,93,86,7.36
243,Gravelbourg,CA,2020-05-08 01:35:22,49.88,-106.55,57.0,37,22,5.08
244,Tucupita,VE,2020-05-08 01:35:22,9.06,-62.05,76.37,80,0,5.01
245,Panaba,MX,2020-05-08 01:35:22,21.28,-88.27,76.21,76,0,11.74
246,Pokaran,IN,2020-05-08 01:35:22,26.92,71.92,86.36,40,39,8.7
247,Mandiana,GN,2020-05-08 01:35:23,10.63,-8.68,82.9,60,36,6.51
248,Virginia Beach,US,2020-05-08 01:34:19,36.85,-75.98,57.0,54,1,3.36
249,Fairbanks,US,2020-05-08 01:35:23,64.84,-147.72,68.0,20,75,3.36
250,Ambunti,PG,2020-05-08 01:35:23,-4.24,142.84,86.31,73,71,2.17
251,Vila Franca Do Campo,PT,2020-05-08 01:35:23,37.72,-25.43,62.6,88,75,10.29
252,Bereznik,RU,2020-05-08 01:35:24,62.86,42.71,39.06,95,100,3.78
253,Flinders,AU,2020-05-08 01:35:24,-34.58,150.86,75.99,55,0,7.0
254,Patos De Minas,BR,2020-05-08 01:35:24,-18.58,-46.52,63.0,100,100,5.3
